KEY,IR,GDP,UR,CPI,NFP,NHS,CU,CCI,NAPM,UNL,RS
199207,3.02,6586.548,7.7,140.5,108792,627,81,100.1,53.9,81.06,14
199208,3,6623.5496666667,7.6,140.8,108927,636,80.5,100.1029,53.4,81.1166666667,13
199209,3,6660.5513333333,7.6,141.1,108959,650,80.5,99.97061,49.7,81.1733333333,15
199210,3,6697.553,7.3,141.7,109145,621,80.9,99.67268,50.3,81.23,14
199211,3,6714.4293333333,7.4,142.1,109277,614,81.1,99.31061,53.6,81.2343333333,13
199212,3,6731.3056666667,7.4,142.3,109494,650,81.1,99.08693,54.2,81.2386666667,11
199301,3,6748.182,7.3,142.8,109804,596,81.3,98.95488,55.8,81.243,14
199302,3,6775.3193333333,7.1,143.1,110051,604,81.5,98.71415,55.2,81.5966666667,11
199303,3,6802.4566666667,7,143.3,109997,602,81.3,98.49004,53.5,81.9503333333,11
199304,3,6829.594,7.1,143.8,110304,701,81.4,98.46266,50.2,82.304,13
199305,3,6854.47,7.1,144.2,110573,626,81.1,98.51562,51.2,82.342,13
199306,3,6879.346,7,144.3,110749,653,81.1,98.54649,49.6,82.38,11
199307,3,6904.222,6.9,144.5,111055,655,81.2,98.62404,50.2,82.418,14
199308,3,6947.096,6.8,144.8,111210,645,81,98.82938,50.7,82.4193333333,12
199309,3,6989.97,6.7,145,111455,726,81.3,99.00491,50.8,82.4206666667,14
199310,3,7032.844,6.8,145.6,111741,704,81.8,99.01488,53.4,82.422,14
199311,3,7067.3156666667,6.6,146,111991,769,82,99.01735,53.8,82.1446666667,12
199312,3,7101.7873333333,6.5,146.3,112314,812,82.3,99.01582,55.6,81.8673333333,14
199401,3,7136.259,6.6,146.3,112590,619,82.4,99.13991,56,81.59,13
199402,3,7180.7883333333,6.6,146.7,112788,686,82.2,99.34547,56.5,81.7896666667,11
199403,3,7225.3176666667,6.5,147.1,113249,747,82.9,99.52801,56.9,81.9893333333,11
199404,3,7269.847,6.4,147.2,113596,692,83.1,99.7007,57.4,82.189,13
199405,3.24,7297.3163333333,6.1,147.5,113929,691,83.3,99.91239,58.2,82.332,12
199406,3.5,7324.7856666667,6.1,147.9,114248,621,83.6,100.1754,58.8,82.475,14
199407,3.5,7352.255,6.1,148.4,114618,628,83.4,100.4272,58.5,82.618,14
199408,3.76,7393.7236666667,6,149,114900,656,83.7,100.7063,58,82.5333333333,11
199409,4,7435.1923333333,5.9,149.3,115260,677,83.7,100.8452,59,82.4486666667,14
199410,4,7476.661,5.8,149.4,115469,715,84.2,100.7758,59.4,82.364,14
199411,4.4,7499.5393333333,5.6,149.8,115876,646,84.4,100.6194,59.2,82.6096666667,15
199412,4.75,7522.4176666667,5.5,150.1,116168,629,85,100.5366,56.1,82.8553333333,13
199501,4.75,7545.296,5.6,150.5,116495,626,84.9,100.5912,57.4,83.101,13
199502,5.25,7565.1716666667,5.4,150.9,116693,559,84.5,100.6869,55.1,83.1926666667,14
199503,5.25,7585.0473333333,5.4,151.2,116912,616,84.3,100.7051,52.1,83.2843333333,14
199504,5.25,7604.923,5.8,151.8,117074,621,84,100.6731,51.5,83.376,13
199505,5.25,7638.7923333333,5.6,152.1,117057,674,83.9,100.6374,46.7,83.5266666667,11
199506,5.25,7672.6616666667,5.6,152.4,117297,725,83.9,100.6032,45.9,83.6773333333,13
199507,5.25,7706.531,5.7,152.6,117389,765,83.3,100.6442,50.7,83.828,14
199508,5.25,7737.5183333333,5.7,152.9,117641,701,84,100.7719,47.1,83.8616666667,11
199509,5.25,7768.5056666667,5.6,153.1,117893,678,84,100.8669,48.1,83.8953333333,14
199510,5.25,7799.493,5.5,153.5,118045,696,83.6,100.9539,46.7,83.929,13
199511,5.25,7830.7106666667,5.6,153.7,118191,664,83.4,100.9872,45.9,84.0516666667,14
199512,5.25,7861.9283333333,5.6,153.9,118323,709,83.4,100.9104,46.2,84.1743333333,13
199601,5.24,7893.146,5.6,154.7,118310,714,82.5,100.7231,45.5,84.297,30
199602,5,7949.2756666667,5.5,155,118735,769,83.4,100.4393,45.9,84.2363333333,27
199603,5,8005.4053333333,5.5,155.5,119000,721,82.9,100.238,46.9,84.1756666667,20
